Inspecting 46119_FINAL.pdf...
Field 1: Name='Single Family', Tooltip='Single Family', Rect=pikepdf.Array([ Decimal('133.917425'), Decimal('529.570825'), Decimal('140.733575'), Decimal('536.386975') ])
Field 2: Name='MultiFamily 24 units', Tooltip='MultiFamily 24 units', Rect=pikepdf.Array([ Decimal('206.943425'), Decimal('529.570825'), Decimal('213.759575'), Decimal('536.386975') ])
Field 3: Name='Townhome', Tooltip='Townhome', Rect=pikepdf.Array([ Decimal('318.327425'), Decimal('529.570825'), Decimal('325.143575'), Decimal('536.386975') ])
Field 4: Name='Mobile Home', Tooltip='Mobile Home', Rect=pikepdf.Array([ Decimal('381.687425'), Decimal('529.570825'), Decimal('388.503575'), Decimal('536.386975') ])
Field 5: Name='None', Tooltip='Yes', Rect=pikepdf.Array([ Decimal('339.576425'), Decimal('515.791825'), Decimal('346.392575'), Decimal('522.607975') ])
Field 6: Name='None', Tooltip='No', Rect=pikepdf.Array([ Decimal('373.263425'), Decimal('515.791825'), Decimal('380.079575'), Decimal('522.607975') ])
Field 7: Name='WhiteCaucasian', Tooltip='WhiteCaucasian', Rect=pikepdf.Array([ Decimal('43.926425'), Decimal('374.031825'), Decimal('50.742575'), Decimal('380.847975') ])
Field 8: Name='BlackAfrican American', Tooltip='BlackAfrican American', Rect=pikepdf.Array([ Decimal('131.784425'), Decimal('374.031825'), Decimal('138.600575'), Decimal('380.847975') ])
Field 9: Name='WhiteCaucasian HispanicLatino', Tooltip='WhiteCaucasian HispanicLatino', Rect=pikepdf.Array([ Decimal('43.926425'), Decimal('364.032825'), Decimal('50.742575'), Decimal('370.848975') ])
Field 10: Name='Asian BlackAfrican American', Tooltip='Asian BlackAfrican American', Rect=pikepdf.Array([ Decimal('126.789425'), Decimal('364.032825'), Decimal('133.605575'), Decimal('370.848975') ])
Field 11: Name='American HispanicLatino IndianAlaskan Asian Native', Tooltip='American HispanicLatino IndianAlaskan Asian Native', Rect=pikepdf.Array([ Decimal('43.926425'), Decimal('354.033825'), Decimal('50.742575'), Decimal('360.849975') ])
